gene_id,NC-1_FPKM,NC-2_FPKM,NC-3_FPKM,si-hnrnpa2b1-1_FPKM,si-hnrnpa2b1-2_FPKM,si-hnrnpa2b1-3_FPKM,NC-1_count,NC-2_count,NC-3_count,si-hnrnpa2b1-1_count,si-hnrnpa2b1-2_count,si-hnrnpa2b1-3_count
ENSRNOG00000007925,0.68164509,0.417952767,0.63606454,0.721240892,0.502102975,0.679030889,48,28,47,55,37,50
ENSRNOG00000054994,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000017206,9.362780057,10.05104005,10.63292909,8.323448276,8.299019117,8.276725719,939,959,1119,904,871,868
ENSRNOG00000045327,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000001566,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000001567,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000045322,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000017203,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000017201,63.99307465,56.89050829,61.54145225,56.25668276,61.54666358,57.25886079,2626,2221,2650,2500,2643,2457
ENSRNOG00000017208,0.026417654,0.009256997,0.033569755,0.024398635,0,0.008418771,3,1,4,3,0,1
ENSRNOG00000017209,1.27307817,2.46724272,2.426447979,3.379781139,2.889256103,2.815380411,32,59,64,92,76,74
ENSRNOG00000015692,47.37438163,52.00493522,50.06199175,42.11442762,47.07281166,45.32748758,1984,2072,2200,1910,2063,1985
ENSRNOG00000015691,0.063128814,0,0.080219796,0.019428373,0,0,3,0,4,1,0,0
ENSRNOG00000015690,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000042899,0,0,0,0,0,0.008930708,0,0,0,0,0,1
ENSRNOG00000015696,4.849986156,4.377888275,4.23024902,4.883373115,4.320368536,4.45466235,177,152,162,193,165,170
ENSRNOG00000015695,0.239095901,0,0.170874216,0,0,0.400160213,4,0,3,0,0,7
ENSRNOG00000050378,7.173360732,6.27811388,7.093474764,5.37677999,8.088022086,6.859948127,239,199,248,194,282,239
ENSRNOG00000050377,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000050376,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000015699,4.552718593,5.261361349,5.680990659,4.296946696,4.783154088,4.762753208,181,199,237,185,199,198
ENSRNOG00000050374,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000050370,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000053173,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000051028,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000051029,0.098407647,0.103414612,0,0.090826974,0,0,1,1,0,1,0,0
ENSRNOG00000054018,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000054019,0.539005524,1.132860069,0.513656017,0.995453568,1.545081493,0.515139478,1,2,1,2,3,1
ENSRNOG00000054016,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000054017,11.47131777,13.38470062,11.35040665,13.78581046,12.37792713,13.43713029,209,232,217,272,236,256
ENSRNOG00000051026,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000051027,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000051020,0.130788105,0.137442582,0.124637122,0.120713056,0,0.124997079,1,1,1,1,0,1
ENSRNOG00000054013,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000054010,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000051023,0.720828221,0.654355839,0.843051706,0.968194138,0.469654173,0.563999175,22,19,27,32,15,18
ENSRNOG00000011338,4.666947594,3.797817075,6.061522302,5.178349263,6.545618117,5.830748357,124,96,169,149,182,162
ENSRNOG00000011339,109.9592326,120.5639259,109.135895,113.1127021,119.6791679,113.4845936,6123,6387,6377,6821,6974,6608
ENSRNOG00000011330,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000011332,5.899604985,5.99400515,6.588306586,6.9169734,7.427069722,6.665201488,419,405,491,532,552,495
ENSRNOG00000011334,1.23358988,1.028374826,1.094502688,1.040911283,1.229607944,0.966124215,116,92,108,106,121,95
ENSRNOG00000011335,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000047401,0,0,0,0.04300452,0,0,0,0,0,1,0,0
ENSRNOG00000045814,0,0,0,0,0.073590857,0,0,0,0,0,2,0
ENSRNOG00000045815,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000045816,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000045817,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000045811,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000016641,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000016640,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000016643,0.324026284,0.15893755,0.247017533,0.219416679,0.165145407,0.041319186,15,7,12,11,8,2
